gender,utility_mean,utility_sd,edge_count,decile_0,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,filename
0,-0.000013518828360814609,0.0037012700776329153,1262127024,-0.003996758336325286,-0.0031395220104603223,-0.0026081256742450983,-0.0020800771085536245,-0.0014886412880642046,-0.0007703024888231253,0.00016801702455865715,0.001505849983114655,0.0036944553546549284,0.008579916261963253,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_gender_edge_similarity.csv
1,-0.0001877275154342566,0.003600538549921737,1563983048,-0.0040240607895423415,-0.003196726179314092,-0.0026852201393059057,-0.0021790376734350087,-0.001614047999189131,-0.0009299823159991147,-0.000037708215781967705,0.0012353518942944252,0.0033334162453332156,0.008220740047829161,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_gender_edge_similarity.csv
0,-0.0003718718155876367,0.0030951651434633055,1262127024,-0.0037757355050554347,-0.0029264405501927705,-0.0024431177452301925,-0.001996685855618378,-0.0015180597503935088,-0.0009551485626624218,-0.00024001072202008237,0.0007723801755268388,0.0024967882092377753,0.006867312152251652,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim21_gender_edge_similarity.csv
1,-0.00038176315584201694,0.003088836998150192,1563983048,-0.003797131387383298,-0.002938951270663269,-0.00244855794398071,-0.0019962325077390766,-0.0015129408714315404,-0.0009474018617625972,-0.00023356075269128894,0.0007678965689473758,0.0024565485151304065,0.006832699977436508,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim21_gender_edge_similarity.csv
0,-0.00015035674938405333,0.0034462387384668505,1262127024,-0.0036640156433976525,-0.0028788202139509817,-0.0023762337607764303,-0.001903102054385386,-0.0013990890637301714,-0.0008158988244684519,-0.00008347137585693553,0.0009444797638828932,0.0026903388173304494,0.0079822448660043,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim27_gender_edge_similarity.csv
1,-0.0001209879604866886,0.003459129450780499,1563983048,-0.003660732978493118,-0.002870038779371605,-0.0023625210783541906,-0.0018839225217751243,-0.0013736025595804124,-0.0007835647452059523,-0.00004384077703572372,0.0009912684404119448,0.0027408595643549838,0.008036215859708882,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim27_gender_edge_similarity.csv
0,-0.0002818356574835462,0.003414847775224557,1262127024,-0.0036329688077746387,-0.0028573316038737434,-0.002388709909398324,-0.001957423383507997,-0.0015108101852906698,-0.0010049422362874976,-0.0003722480890829128,0.0005390675870107278,0.0022262280637065433,0.008140781996936068,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim3_gender_edge_similarity.csv
1,-0.0002859724532048192,0.0034385358226333997,1563983048,-0.0036555378530156906,-0.0028747558444883665,-0.002403584391174928,-0.0019711486781218298,-0.0015242121640337038,-0.0010176306881384053,-0.00038338079696473683,0.0005317137981063133,0.002232737122130111,0.00820607499640888,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim3_gender_edge_similarity.csv
0,0.00026661410275985675,0.004746603634852533,1280440006,-0.005180876862594925,-0.0041621587904727714,-0.003396871114610803,-0.0026088460300342587,-0.001707294379613432,-0.0005860783942106433,0.0009205500830510918,0.0030430041478211674,0.005938565719111088,0.010406146668446274,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_gender_edge_similarity.csv
1,0.00031710498820211326,0.004745582057057767,1585599810,-0.005161567634240889,-0.004128893927540175,-0.00334934659152788,-0.0025460840448320128,-0.001629669876819127,-0.0004996493665295817,0.0009970835784138747,0.0030827266504605353,0.00594884562465067,0.01045760546998236,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_gender_edge_similarity.csv
0,-0.000445356016095583,0.004137540062070798,1280440006,-0.005557650424167793,-0.004444645431645163,-0.003661551842948524,-0.002852970186035963,-0.0019432017390233324,-0.0008780120744969862,0.00040649807436271627,0.0020160139871275066,0.004196058384250746,0.008265901107573222,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_gender_edge_similarity.csv
1,-0.0004376290051237333,0.0041166441272994765,1585599810,-0.005548173116204644,-0.004421896020863867,-0.003630359105907904,-0.0028181864578672514,-0.0019112604996510828,-0.000855915137425102,0.00041298645760087235,0.002002444717851871,0.0041637557825318855,0.00823031332870018,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_gender_edge_similarity.csv
0,0.0000722260094407883,0.004507727727274304,1280440006,-0.0053857432554595495,-0.004243606331557432,-0.0034158727889823247,-0.002568137058985545,-0.001619551934106406,-0.0004992921454651099,0.0008887612833261755,0.0026946833490431006,0.005212633470043077,0.009658385524548561,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_gender_edge_similarity.csv
1,0.00011333257210141132,0.004526816670827733,1585599810,-0.005387572843349252,-0.004229459148992925,-0.003391208135237429,-0.0025348696833358522,-0.0015782761312812,-0.00044977145773512954,0.0009462454856514315,0.0027575589476137915,0.0052768687872083945,0.009723809900472,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_gender_edge_similarity.csv
0,-0.0001337932394039732,0.004032461355274229,1280440006,-0.005255837007275478,-0.004088538997253553,-0.003262931789801346,-0.0024296708160203738,-0.0015195099186837307,-0.00047940110290828206,0.0007552414706003611,0.002291080735129381,0.004369657601812058,0.008281977445094428,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim20_gender_edge_similarity.csv
