relation_type,mean_utility,sd_utility,edge_count,decile_0,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,filename
101,-0.00022534746627312957,0.003606892073227504,482684750,-0.004000427220697783,-0.0032016208783744522,-0.002699305577845159,-0.0022080795702187016,-0.0016631209241724156,-0.0010042304310021915,-0.00013967121257319072,0.001116654072835431,0.00326688915340031,0.00827943716788423,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_edge_covariates.csv
102,-0.00014147684804307795,0.003674776137179042,659947296,-0.003963631231401592,-0.00318124415670136,-0.0026813300626200654,-0.0021873329728550263,-0.0016335944495727635,-0.0009566044158621464,-0.000059161046431776045,0.001251626183677413,0.0034868439182635562,0.008509659132289153,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_edge_covariates.csv
201,0.000023896758817503376,0.003721889268125338,905098356,-0.003905722903530858,-0.003128862848275577,-0.0026078209753950883,-0.002080841352396956,-0.001483546970503645,-0.0007528786566721294,0.000205153106923029,0.0015674841794916634,0.003757498892392753,0.008668504672358891,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_edge_covariates.csv
501,-0.00029843732731999156,0.003784486578265182,54701354,-0.0042244449704119435,-0.0034099539496681166,-0.0029270429541730426,-0.0024509460532843026,-0.0019005175340052116,-0.001213914672967721,-0.00026621110547734927,0.0011794836780843864,0.0036898164426798948,0.00853935131386951,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_edge_covariates.csv
502,-0.002042143606148486,0.002019334759708881,1665498,-0.004225297160508837,-0.0036886620740341543,-0.0033610156406824,-0.0030668313039008497,-0.0027614757770276846,-0.002406618659653994,-0.0019587771611209942,-0.0013313562405753623,-0.0002784851234324257,0.002656879892114547,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_edge_covariates.csv
503,-0.000648848116326811,0.003525391524800297,57800008,-0.004304120435708746,-0.0035430726055194314,-0.0031005170257592126,-0.0026642435605611537,-0.0021505499585664856,-0.0014884294144890443,-0.0005719790755823285,0.0007821253264421988,0.0029597099923621708,0.007592589357826034,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_edge_covariates.csv
504,-0.0019442297813896008,0.0017774269695320158,32951692,-0.0041732674870123086,-0.0035775327968753275,-0.003206380683288461,-0.0028676627331589545,-0.002518315917097625,-0.0021280002296715874,-0.0016627832217357712,-0.0010599478356018805,-0.000171006855100772,0.0019225896807183462,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_edge_covariates.csv
505,0.00016349558006672105,0.0028139943781853717,97366722,-0.003162589704547422,-0.0023138635252217595,-0.0017641324042733178,-0.0012631053737111335,-0.0007485192832476565,-0.0001819054928882804,0.00048562597325892533,0.0013520908366078442,0.002689466801541695,0.006541883993760281,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_edge_covariates.csv
506,0.005305540683005332,0.0038243913070465257,54626442,-0.0003802871215961853,0.0012345769638955053,0.0023198859622519576,0.003308446633655601,0.004302479396973197,0.005377704904341688,0.006609833665249055,0.008059701682623637,0.009794366210402831,0.012428694581351553,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_edge_covariates.csv
301,-0.0003690604426820101,0.0033950290732094,38488774,-0.004022638963707387,-0.003231810811991322,-0.0027256465919676277,-0.002229014868227083,-0.0016794611096809307,-0.0010212853387588441,-0.0001765241270857335,0.001000031654964554,0.002891384906744419,0.007504350553086247,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_edge_covariates.csv
302,-0.00039123525288803633,0.003419132028908468,8397480,-0.004017878976383138,-0.003234491570613243,-0.0027344540760027205,-0.0022473390879441707,-0.0017104070663814248,-0.0010687843392273757,-0.00024420512706247013,0.0009162024099330847,0.002824018716791336,0.007604942740500592,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_edge_covariates.csv
303,-0.0006653745453225291,0.0031515401591415125,26425602,-0.004059130221923543,-0.0032929116492278654,-0.0028187556856435285,-0.0023629544227052367,-0.0018627779595221268,-0.0012657151796518597,-0.0004969763170973758,0.0005754257017595052,0.0022889680753826356,0.006641066340031364,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_edge_covariates.csv
304,-0.0003690604426820101,0.0033950290732094,38488774,-0.004022638963707387,-0.003231810811991322,-0.0027256465919676277,-0.002229014868227083,-0.0016794611096809307,-0.0010212853387588441,-0.0001765241270857335,0.001000031654964554,0.002891384906744419,0.007504350553086247,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_edge_covariates.csv
305,-0.0006653745453225291,0.0031515401591415125,26425602,-0.004059130221923543,-0.0032929116492278654,-0.0028187556856435285,-0.0023629544227052367,-0.0018627779595221268,-0.0012657151796518597,-0.0004969763170973758,0.0005754257017595052,0.0022889680753826356,0.006641066340031364,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_edge_covariates.csv
306,-0.00041267296442796126,0.0033616371469504264,22134600,-0.004093039686231757,-0.0032657280143721296,-0.002745288301643041,-0.0022392449760113434,-0.0016834879126764928,-0.0010236189822923167,-0.00018625702542116127,0.0009646723864235296,0.0027997122365834965,0.007345533974867783,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_edge_covariates.csv
