municipality,id,n,mean_age,mean_gross_income_percentile,prop_female,prop_both_parents_abroad,prop_one_parent_abroad,prop_vocational_edu,prop_higher_vocational_edu,prop_bachelor_edu,prop_master_doctorate_edu,n_female,n_both_parents_abroad,n_one_parent_abroad,n_vocational_edu,n_higher_vocational_edu,n_bachelor_edu,n_master_doctorate_edu
Beekdaelen,276,36004,50.47116987001444,50.351186668910955,0.5023608487945784,0.07260304410621042,0.08629596711476503,0.13642928563492945,0.34462837462504164,0.1928674591712032,0.08010221086545939,18087,2614,3107,4912,12408,6944,2884
Beemster,280,10086,46.296351378147925,53.82384858044164,0.4998017053341265,0.05770374776918501,0.05393614911758874,0.11382113821138211,0.3093396787626413,0.1924449732302201,0.09210787229823518,5041,582,544,1148,3120,1941,929
Beesel,249,13442,49.0869662252641,47.40087281795511,0.495313197440857,0.09805088528492784,0.07431929772355304,0.16388930218717454,0.3659425680702276,0.14968010712691565,0.048876655259633986,6658,1318,999,2203,4919,2012,657
Berg en Dal,254,34962,49.80189920485098,49.20345067967933,0.5018305588925118,0.06632915737085979,0.07805617527601395,0.14541502202391168,0.32912876837709515,0.15862936902923175,0.1070876952119444,17545,2319,2729,5084,11507,5546,3744
Bergeijk,191,18694,48.22911094468814,50.36792815907633,0.48791055953781964,0.0579330266395635,0.05258371670054563,0.14731999572055204,0.35369637316786134,0.17599229699368782,0.0667058949395528,9121,1083,983,2754,6612,3290,1247
Bergen (L.),288,13094,49.73338933862838,47.95017664643537,0.4988544371467848,0.07316328089201161,0.08706277684435619,0.16847411027951734,0.4015579654803727,0.13296166182984573,0.042767679853367956,6532,958,1140,2206,5258,1741,560
Bergen (NH.),27,29660,53.73469318948078,50.25494756600155,0.5182063385030344,0.0674645987862441,0.06942009440323668,0.12936614969656102,0.3200606877950101,0.19072825354012138,0.12002697235333783,15370,2001,2059,3837,9493,5657,3560
Bergen op Zoom,256,67403,47.48603177900093,49.67412069603851,0.5033158761479459,0.19101523671053217,0.07158435084491788,0.1507944750233669,0.34418349331632125,0.15417711377831847,0.06467071198611338,33925,12875,4825,10164,23199,10392,4359
Berkelland,45,43806,49.472560836415106,47.97377282558108,0.4994521298452267,0.04193489476327444,0.039104232296945624,0.15137195817924484,0.37709446194585217,0.16780806282244443,0.05099758024014975,21879,1837,1713,6631,16519,7351,2234
Bernheze,232,31387,46.82728518176315,50.249686765857476,0.495937808646892,0.06260553732436996,0.030458470067225286,0.14760888265842545,0.3434224360403989,0.16870041737024882,0.06738458597508523,15566,1965,956,4633,10779,5295,2115
Best,78,30167,46.4128683660954,52.34355927407946,0.5012430801869593,0.12384393542612789,0.05787781350482315,0.13697086220041768,0.31590811151257997,0.19126860476679816,0.09858454602711572,15121,3736,1746,4132,9530,5770,2974
Beuningen,141,26117,47.16249952138454,51.87749474176209,0.5012826894359995,0.07098824520427308,0.062181720718306084,0.14067465635409887,0.3429566948730712,0.17207183060841597,0.0838917180380595,13092,1854,1624,3674,8957,4494,2191
Beverwijk,228,41781,45.386706876331345,51.081346548799,0.49706804528374143,0.21122041119169,0.07426820803714607,0.14468298987578085,0.36128862401570094,0.14073382638041215,0.054426653263445104,20768,8825,3103,6045,15095,5880,2274
Bladel,258,20492,47.42035916455202,50.551461919358644,0.4919480772984579,0.0611458130001952,0.0445539722818661,0.14566660160062464,0.35428459886785085,0.1720183486238532,0.0650009759906305,10081,1253,913,2985,7260,3525,1332
Blaricum,62,11938,47.11501088959625,55.98759002770083,0.5105545317473613,0.10395376109901155,0.10010051934997487,0.10856089797285978,0.24501591556374602,0.18947897470263025,0.15798291171050427,6095,1241,1195,1296,2925,2262,1886
Bloemendaal,221,23430,49.863935125906956,56.47939213817081,0.5153649167733675,0.07806231327358087,0.11442594963721724,0.1029449423815621,0.2120358514724712,0.1771660264618011,0.2364489970123773,12075,1829,2681,2412,4968,4151,5540
Bodegraven-Reeuwijk,64,35223,45.56235982170741,52.387963690944176,0.49961672770632826,0.09561933963603328,0.04468671038809868,0.12982994066377082,0.3198762172444142,0.16517616330238766,0.08213383300684211,17598,3368,1574,4573,11267,5818,2893
Boekel,85,10947,45.493970400146175,49.65626064252469,0.49045400566365216,0.05809810907097835,0.028044213026399926,0.14131725586918792,0.37398373983739835,0.15739472001461588,0.04174659724125331,5369,636,307,1547,4094,1723,457
Borger-Odoorn,100,25570,49.79112240907313,47.76186866293945,0.4995307000391083,0.02827532264372311,0.03582323034806414,0.14845522096206493,0.3932342588971451,0.15142745404771216,0.050058662495111456,12773,723,916,3796,10055,3872,1280
Borne,230,23622,46.49483532300398,51.15874787414966,0.5016086698840064,0.05842011684023368,0.0528744390822115,0.11413089492845653,0.31906697146727625,0.19503005672678012,0.08648717297434595,11849,1380,1249,2696,7537,4607,2043
Borsele,58,22789,46.58431699504147,50.28683274021353,0.492693843520997,0.05555311773223924,0.04041423493790864,0.13129141252358595,0.3735574180525692,0.15191539777963053,0.04651366887533459,11228,1266,921,2992,8513,3462,1060
Boxmeer,92,29567,48.694625765211214,50.112038826965,0.49700679811952514,0.08069807555720905,0.0476206581661988,0.14438394155646497,0.3652382723982819,0.17695403659485237,0.06943551932898163,14695,2386,1408,4269,10799,5232,2053
Boxtel,31,30775,47.47717303005687,49.80541278509477,0.500536149471974,0.12376929325751422,0.05013809910641755,0.1456051990251828,0.31707554833468726,0.171697806661251,0.07977254264825345,15404,3809,1543,4481,9758,5284,2455
Breda,15,183644,45.07639781316024,51.816247713259706,0.5080263989022239,0.1648896778549803,0.08050902833743548,0.11913266973056566,0.29262050488989566,0.2212650563045893,0.1150922436888763,93296,30281,14785,21878,53738,40634,21136
Brielle,129,17401,48.23067639790817,54.954865016872894,0.5074995689902879,0.084133095799092,0.06786966266306534,0.13436009424745704,0.37721970001724037,0.16769151198207,0.05855985288201827,8831,1464,1181,2338,6564,2918,1019
Bronckhorst,286,36035,50.60482863882336,48.636514302761114,0.5009851533231581,0.02847231857915915,0.03285694463715832,0.1464409601776051,0.3672540585541834,0.16958512557236022,0.06729568475093659,18053,1026,1184,5277,13234,6111,2425
Brummen,121,20848,50.08825786646201,49.79270978210477,0.5033576362240982,0.07170951650038374,0.050508442056792016,0.14164428242517269,0.3572524942440522,0.15785686876438987,0.0644666155026861,10494,1495,1053,2953,7448,3291,1344
Brunssum,185,27622,50.385598436029255,46.80391729192113,0.5077112446600536,0.11472739120990515,0.126239953660126,0.17960321482875968,0.3744117008181884,0.13170661067265224,0.04087321700094128,14024,3169,3487,4961,10342,3638,1129
Bunnik,326,15325,47.19334420880914,56.573020625415836,0.5046655791190865,0.06942903752039152,0.06799347471451876,0.09938009787928222,0.23849918433931486,0.17898858075040783,0.20456769983686787,7734,1064,1042,1523,3655,2743,3135
Bunschoten,109,21974,42.7600345863293,51.429973552747576,0.501592791480841,0.08887776463092746,0.03126422135250751,0.15249840720851915,0.34204059342859744,0.12664967689087103,0.039364703740784567,11022,1953,687,3351,7516,2783,865
Buren,266,26973,47.25777629481333,51.87572966070777,0.49686723760797835,0.05001297593890187,0.039780521262002745,0.15281948615281948,0.34634634634634637,0.14859303748192637,0.071256441626812,13402,1349,1073,4122,9342,4008,1922
Capelle aan den IJssel,151,67246,46.3657169199655,51.25098097836242,0.5161347886863159,0.287422300211165,0.08495672605062012,0.13904172738898968,0.3378937037147191,0.15586057163251346,0.08110519584808018,34708,19328,5713,9350,22722,10481,5454
Castricum,143,36043,49.09152956191216,53.37719387237496,0.5065338623311045,0.05709846572149932,0.06109369364370335,0.11122825513969425,0.3117387564853092,0.21196903698360292,0.11489054740171462,18257,2058,2202,4009,11236,7640,4141
Coevorden,224,35270,49.1625177204423,47.35404870253934,0.5007655231074568,0.051176637368868724,0.04099801531046215,0.15395520272185995,0.3802665154522257,0.14505245250921464,0.048369719308193934,17662,1805,1446,5430,13412,5116,1706
Cranendonck,340,20966,48.66076794657763,50.01191188794445,0.49246398931603547,0.10412095774110465,0.07564628446055519,0.1394161976533435,0.33931126585900984,0.1754268816178575,0.06701325956310217,10325,2183,1586,2923,7114,3678,1405
Cuijk,272,25370,47.41631848640126,49.71743813125269,0.5005518328734726,0.13898305084745763,0.06125344895545921,0.1552621206148995,0.35293653921955065,0.16401261332282224,0.06507686243594797,12699,3526,1554,3939,8954,4161,1651
Culemborg,139,29093,45.643041281407896,52.54518685315897,0.504176262331145,0.16955968789743237,0.06943250953837693,0.1329529440071495,0.2962224590107586,0.17712164438181005,0.117279070566803,14668,4933,2020,3868,8618,5153,3412
Dalfsen,125,28860,46.637318087318086,49.89316477394472,0.4946985446985447,0.037214137214137216,0.024636174636174638,0.13298683298683298,0.3521136521136521,0.1644837144837145,0.05966735966735967,14277,1074,711,3838,10162,4747,1722
Dantumadiel,262,18925,47.17500660501982,45.001755452028895,0.4968560105680317,0.025151915455746368,0.0209775429326288,0.1623778071334214,0.378335535006605,0.12317040951122854,0.03424042272126816,9403,476,397,3073,7160,2331,648
De Bilt,16,43328,48.090657311669126,54.96471904818,0.5182330132939439,0.10468980797636632,0.08186392171344166,0.10482828655834564,0.24238367799113736,0.17342134416543575,0.2057791728212703,22454,4536,3547,4542,10502,7514,8916
De Fryske Marren,342,51713,48.056716879701426,47.76600773528148,0.49664494421132016,0.04815036837932435,0.03594840755709396,0.14361959275230599,0.3634289250285228,0.1663024771334094,0.05217256782627192,25683,2490,1859,7427,18794,8600,2698
De Ronde Venen,84,44671,47.375187481811466,53.50322634017207,0.5049360882899421,0.10532560274003268,0.06935148082648698,0.13245729891876162,0.3151261444785207,0.17402789281636857,0.11257863043137606,22556,4705,3098,5917,14077,7774,5029
De Wolden,349,24338,48.943093105431835,49.502461816720256,0.4994658558632591,0.02917248746815679,0.02494042238474813,0.1394937957104117,0.372175199276851,0.1614347933273071,0.06463144054564877,12156,710,607,3395,9058,3929,1573
Delft,48,103309,42.90086052522045,48.17403814231436,0.47243705775876255,0.2933045523623305,0.07779573899660243,0.09607101027016039,0.28836790599076556,0.21819008992440156,0.180594139910366,48807,30301,8037,9925,29791,22541,18657
Den Helder,117,56488,48.145623849313125,48.89290889132821,0.5034166548647501,0.1272305622433083,0.08222985412831044,0.16309658688571024,0.39847401217957795,0.11246636453760091,0.03505169239484492,28437,7187,4645,9213,22509,6353,1980
Deurne,53,32364,47.58089234952416,49.46851232126559,0.4966629588431591,0.0650414040291682,0.03587319243604004,0.15084661970090224,0.3514089729328884,0.15594487702385365,0.05960326288468669,16074,2105,1161,4882,11373,5047,1929
Deventer,63,101066,45.30200067282766,49.93200936605672,0.5057882967565749,0.15924247521421644,0.06707498070567748,0.13004373379771633,0.31567490550729227,0.18621494864741853,0.0946807036985732,51118,16094,6779,13143,31904,18820,9569
Diemen,69,31261,42.647835961741464,53.094494926857095,0.5103803461181664,0.3868718211189661,0.10108441828476376,0.09708582578932216,0.2965356194619494,0.20306452128850644,0.15530533252295192,15955,12094,3160,3035,9270,6348,4855
Dinkelland,153,26571,47.47416356177788,49.28176066275206,0.4884272326973016,0.03590380490007904,0.045425463851567496,0.1323247149147567,0.36265101050016935,0.18723420270219412,0.060893455270783936,12978,954,1207,3516,9636,4975,1618
Doesburg,307,11034,50.79182526735545,47.13513806172171,0.5134130868225485,0.136668479245967,0.0696936740982418,0.16856987493202827,0.35988762008337866,0.14863150262824,0.05836505347108936,5665,1508,769,1860,3971,1640,644
Doetinchem,267,58144,47.04710718216841,48.83405591269248,0.5037149146945514,0.0889515685195377,0.060332966428178314,0.1465327462850853,0.34744771601541,0.16911461199779856,0.06072853604843148,29288,5172,3508,8520,20202,9833,3531
Dongen,41,26324,47.25535632882541,51.19701296877194,0.49863242668287494,0.09322291445069139,0.05029630755204376,0.1411639568454642,0.34941498252545206,0.17185838018538216,0.06708706883452363,13126,2454,1324,3716,9198,4524,1766
Dordrecht,245,118928,45.91214011839096,50.560013956734124,0.5044228440737253,0.2289956948742096,0.08136015067940267,0.14302771424727567,0.33102381272702813,0.1563887394053545,0.07467543387595857,59990,27234,9676,17010,39368,18599,8881
Drechterland,124,19830,46.721734745335354,49.98298921417565,0.49420070600100857,0.06959152798789713,0.04281391830559758,0.1428139183055976,0.3422592032274332,0.1649016641452345,0.0589006555723651,9800,1380,849,2832,6787,3270,1168
Drimmelen,323,27285,48.5494594099322,51.383446173160564,0.500787978742899,0.06333150082462892,0.04024189114898296,0.14220267546270846,0.354260582737768,0.17067986072933847,0.06545721092175188,13664,1728,1098,3880,9666,4657,1786
Dronten,321,41936,45.12883918351774,50.07144576862887,0.49859309423884013,0.12035005723006487,0.058899275085845096,0.1397367417016406,0.3614555513162915,0.16203262113697062,0.05289011827546738,20909,5047,2470,5860,15158,6795,2218
Druten,54,18966,46.98797848782031,50.52826001827437,0.49947274069387326,0.08235790361699884,0.04787514499630918,0.1520615838869556,0.3436676157334177,0.16629758515237794,0.058262153327006225,9473,1562,908,2884,6518,3154,1105
Duiven,178,25033,47.37370670714657,50.656100275855394,0.5051731714137339,0.08388926616865737,0.06727120201334238,0.14321096153077936,0.36983182199496667,0.17752566612072065,0.061638636999161105,12646,2100,1684,3585,9258,4444,1543
Echt-Susteren,290,31703,50.704255117812195,49.38662656177696,0.4992902879853642,0.08888748698861307,0.08961297038135192,0.14478125098571112,0.3443838122575151,0.1800145096678548,0.06993029050878466,15829,2818,2841,4590,10918,5707,2217
Edam-Volendam,157,36218,46.69432326467502,51.20541251011054,0.5000552211607489,0.056408415704898116,0.04097410127560881,0.15500579822187863,0.3295322767684577,0.15713181291070738,0.07175989839306422,18111,2043,1484,5614,11935,5691,2599
Ede,333,118342,44.278506362914264,50.680863477246206,0.5044954454039986,0.10897230062023626,0.05263558161937436,0.12707238343107266,0.3207483395582295,0.16557097226681988,0.0850416589207551,59703,12896,6229,15038,37958,19594,10064
Eemnes,335,9348,47.186136071887034,52.461222325334745,0.5098416773641421,0.06867779204107831,0.07252888318356868,0.12302096705177579,0.3325845100556269,0.1891313649978605,0.08279845956354301,4766,642,678,1150,3109,1768,774
Eersel,24,19508,48.154449456633174,52.51250631632137,0.49384867746565514,0.05587451302029937,0.04393069509944638,0.12646093910190692,0.3378101291777732,0.18459093705146606,0.08888661062128357,9634,1090,857,2467,6590,3601,1734
Eijsden-Margraten,215,25869,49.377942711353356,52.405574062778584,0.4988982952568712,0.05752058448335846,0.07789245815454791,0.1109822567551896,0.3145850245467548,0.2032162047238007,0.11639413970389269,12906,1488,2015,2871,8138,5257,3011
Eindhoven,297,234888,43.96827849868874,51.30475192949603,0.4843159292939614,0.3029784407888015,0.08207741561935901,0.11978049112768639,0.28626409182248563,0.1967661183202207,0.1366651340213208,113760,71166,19279,28135,67240,46218,32101
Elburg,310,23388,44.949290234308194,48.429064039408864,0.4978621515306995,0.039550196682059176,0.028005814947836497,0.1521292970754233,0.3444501453736959,0.13468445356593126,0.04117496151872755,11644,925,655,3558,8056,3150,963
Emmen,25,106843,48.39215484402347,46.08704856357215,0.5020824948756587,0.0743801652892562,0.05050401055754705,0.173095102159243,0.39525284763625135,0.12300291081306215,0.032748986831144765,53644,7947,5396,18494,42230,13142,3499
Enkhuizen,212,18619,47.084215049143346,48.94636952784023,0.49744884258016003,0.11273430366829583,0.05784413770879209,0.15376765669477416,0.3470648262527526,0.14372415274719372,0.054191954455126486,9262,2099,1077,2863,6462,2676,1009
Enschede,150,159372,44.4373317604834,45.346824748967734,0.4887119443816982,0.2193986396606681,0.08684085033757498,0.13494842255854228,0.34162211680847326,0.16657882187586276,0.08306352433300705,77887,34966,13840,21507,54445,26548,13238
Epe,195,33152,49.22918677606177,48.48801807474351,0.5011763996138996,0.0756817084942085,0.042048745173745176,0.1491916023166023,0.35216578185328185,0.14611486486486486,0.06231901544401544,16615,2509,1394,4946,11675,4844,2066
Ermelo,292,26985,47.86140448397258,50.31172164654435,0.502686677783954,0.06492495831017232,0.048360200111172875,0.13740967204002225,0.3230313136927923,0.16631461923290716,0.07630164906429499,13565,1752,1305,3708,8717,4488,2059
Etten-Leur,21,43811,46.54406427609504,50.880089013152265,0.5067220561046313,0.13211293967268495,0.06507498116911278,0.1453516240213645,0.33149209102736754,0.17612015247312318,0.06434457099815115,22200,5788,2851,6368,14523,7716,2819
Geertruidenberg,164,21714,47.17841024224003,50.9095881045975,0.5033618863406097,0.0665469282490559,0.042921617389702495,0.15432439900525008,0.3641429492493322,0.15565994289398544,0.04715851524362163,10930,1445,932,3351,7907,3380,1024
Geldrop-Mierlo,160,40004,47.445930406959306,50.86876495490521,0.5024247575242475,0.11553844615538446,0.06929307069293071,0.14493550644935507,0.3226427357264274,0.17323267673232676,0.08661633836616338,20099,4622,2772,5798,12907,6930,3465
Gemert-Bakel,87,30707,46.438108574592114,49.85711430056371,0.493242583124369,0.07613899110951901,0.03780896863907252,0.1420197349138633,0.3510274530237405,0.15553456866512522,0.05542710131240434,15146,2338,1161,4361,10779,4776,1702
Gennep,71,17020,49.38871915393654,49.277794074508655,0.4888954171562867,0.07808460634547591,0.06839012925969448,0.14888366627497063,0.35940070505287897,0.15746180963572268,0.0591069330199765,8321,1329,1164,2534,6117,2680,1006
Gilze en Rijen,108,26666,46.83720232514532,49.960969423700156,0.5006750168754219,0.12675316882922072,0.056963924098102456,0.13541588539713492,0.3411835295882397,0.17006675166879173,0.06487662191554788,13351,3380,1519,3611,9098,4535,1730
Goeree-Overflakkee,152,50534,47.21268848695927,50.98985856677687,0.505857442513951,0.04096252028337357,0.03255234099813987,0.1433094550203823,0.36500178097914276,0.1415680531919104,0.04565243202596272,25563,2070,1645,7242,18445,7154,2307
Goes,67,38529,48.37358872537569,49.88719959201887,0.5103947675776688,0.10669885021671988,0.06213501518336837,0.14090684938617665,0.349736562070129,0.17451789561109812,0.06431519115471462,19665,4111,2394,5429,13475,6724,2478
Goirle,169,23923,47.70480290933411,52.13513373419034,0.5034903649207876,0.06203235380178071,0.0552188270701835,0.1305020273377085,0.30485307026710695,0.19550223634159594,0.09392634703005476,12045,1484,1321,3122,7293,4677,2247
Gooise Meren,159,58396,46.391585040071234,56.00536636629922,0.5157716281937119,0.11588122474142065,0.1039454757175149,0.10546955270908967,0.23749914377697104,0.17456675114733886,0.19941434344818137,30119,6767,6070,6159,13869,10194,11645
Gorinchem,312,37344,45.44095437017995,50.906744631515274,0.5033472579263067,0.19676520994001714,0.07152420736932305,0.1459672236503856,0.3266923736075407,0.16002570694087404,0.07562125107112254,18797,7348,2671,5451,12200,5976,2824
Gouda,193,73557,45.572657938741386,51.61432572755841,0.5080957624699213,0.19764264447979119,0.06961947877156491,0.12947781992196528,0.2920864091792759,0.17209782889459874,0.11248419592968718,37374,14538,5121,9524,21485,12659,8274
Grave,165,12472,48.18641757536883,50.59807204464739,0.48933611289288004,0.09364977549711354,0.05676715843489416,0.13991340602950608,0.36642078255291854,0.16957985888389993,0.06959589480436178,6103,1168,708,1745,4570,2115,868
Groningen,240,232293,42.06042368904788,46.98608876033853,0.501866177629115,0.1772718075878309,0.0724903462437525,0.0885562629954411,0.3234363497823869,0.23674411196204792,0.159260072408553,116580,41179,16839,20571,75132,54994,36995
Gulpen-Wittem,322,14190,52.60462329973924,49.516891608684716,0.4963354474982382,0.06138125440451022,0.08090204369274137,0.1379140239605356,0.34587737843551797,0.18752642706131079,0.0945031712473573,7043,871,1148,1957,4908,2661,1341
Haaksbergen,47,24169,48.92850345483885,48.602248205951724,0.49840705035375893,0.06884852497000289,0.056849683478836524,0.1393934378749638,0.358475733377467,0.17791385659315653,0.05813231825892672,12046,1664,1374,3369,8664,4300,1405
Haarlem,205,162229,44.53389344691763,54.32292502121894,0.5088362746487989,0.21803746555794587,0.09604941163417145,0.11004814182421145,0.2567543410857492,0.19617331056716122,0.15497845637956223,82548,35372,15582,17853,41653,31825,25142
Haarlemmermeer,183,157535,44.79439489637223,53.850896,0.5020852508966261,0.21093090424350144,0.08445107436442695,0.13843907703050115,0.32262671787221886,0.1676135461960834,0.08478750753800743,79096,33229,13304,21809,50825,26405,13357
Halderberge,40,30403,48.682630003618065,49.88184764991896,0.5022530671315331,0.11653455251126534,0.04765977041739302,0.15386639476367464,0.3529256981218959,0.15676084596914777,0.05249481959017202,15270,3543,1449,4678,10730,4766,1596
Hardenberg,82,61272,45.20689711450581,48.15126102238392,0.49223136179657917,0.04039365452408931,0.031776341558950254,0.14802846324585456,0.39052095573834705,0.1315282673978326,0.03659093876485181,30160,2475,1947,9070,23928,8059,2242
Harderwijk,314,48644,44.87128936765069,50.37222063298052,0.5056327604637777,0.13646081736699284,0.05758161335416495,0.13718033056492066,0.3180659485239701,0.167132637118658,0.06545514349148919,24596,6638,2801,6673,15472,8130,3184
Hardinxveld-Giessendam,36,18408,43.56497175141243,50.080263064846896,0.502444589308996,0.04927205562798783,0.02830291177748805,0.13776618861364623,0.3543024771838331,0.13526727509778358,0.03987396784006954,9249,907,521,2536,6522,2490,734
Harlingen,104,15776,49.182872718052735,45.23364995328558,0.49841531440162273,0.07023326572008114,0.05673174442190669,0.16778651115618662,0.3573782961460446,0.14078346855983773,0.0436105476673428,7863,1108,895,2647,5638,2221,688
