decile,utility_mean,age_mean,edge_count,filename
9,-0.00021500889537010717,53.73300475518988,282611007,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim3_age_edge_similarity.csv
0,0.0002425489289101276,0.41966539536657727,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_age_edge_similarity.csv
1,0.00037891669608361444,1.8232675008681491,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_age_edge_similarity.csv
2,0.00037495550846991787,4.053653315954278,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_age_edge_similarity.csv
3,0.000356427912766384,7.159188570377883,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_age_edge_similarity.csv
4,0.0003443679786345643,11.002911739028105,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_age_edge_similarity.csv
5,0.00034762139649966036,15.847499118138561,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_age_edge_similarity.csv
6,0.00033019573000455814,21.64782410681169,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_age_edge_similarity.csv
7,0.00023121385348551658,28.076305454123105,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_age_edge_similarity.csv
8,0.00018829102970576643,35.982288839936636,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_age_edge_similarity.csv
9,0.00015093634777565263,53.804837620172485,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_age_edge_similarity.csv
0,-0.0007434084391186629,0.41966539536657727,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_age_edge_similarity.csv
1,-0.0006799264615805495,1.8232675008681491,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_age_edge_similarity.csv
2,-0.0005410635748463227,4.053653315954278,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_age_edge_similarity.csv
3,-0.0004272220705049972,7.159188570377883,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_age_edge_similarity.csv
4,-0.0003579950624806585,11.002911739028105,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_age_edge_similarity.csv
5,-0.0003148628971649147,15.847499118138561,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_age_edge_similarity.csv
6,-0.00029666493030408884,21.64782410681169,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_age_edge_similarity.csv
7,-0.0003294739407859652,28.076305454123105,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_age_edge_similarity.csv
8,-0.0003819496836622238,35.982288839936636,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_age_edge_similarity.csv
9,-0.00033824440239480224,53.804837620172485,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_age_edge_similarity.csv
0,-0.0005259531621809939,0.41966539536657727,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_age_edge_similarity.csv
1,-0.00045686129721413555,1.8232675008681491,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_age_edge_similarity.csv
2,-0.00013560226433897266,4.053653315954278,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_age_edge_similarity.csv
