parents_abroad,utility_mean,utility_sd,edge_count,decile_0,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,filename
0,-0.0003403348359759747,0.0034548089695239227,1991838480,-0.004055594086579222,-0.003213881227781782,-0.0027112680077287714,-0.0022206342124556806,-0.00167836611469243,-0.0010274843379301686,-0.00018527910836804926,0.001006643589739169,0.002961029064087171,0.007721486081951385,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_parents_abroad_edge_similarity.csv
1,0.0005415924252669853,0.0039824933824393,349078840,-0.003818717814461324,-0.002962988964934085,-0.002374783049336144,-0.0017717098125282396,-0.0010837823867725156,-0.00024126013218833835,0.0008581003815324567,0.002409509196359975,0.004833110800009247,0.009568446034992907,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_parents_abroad_edge_similarity.csv
2,0.0003672116611213452,0.004038186102432815,485192752,-0.003952355050520172,-0.003121148304353693,-0.002560417851115139,-0.001983793124912458,-0.0013220949102924746,-0.0005000669172903531,0.0005956347158617965,0.0021834529510780837,0.004727663433686769,0.009605241712826196,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_parents_abroad_edge_similarity.csv
0,-0.0003583754265826207,0.0031315653583218633,1991838480,-0.003813575660993138,-0.0029525977253572074,-0.0024535112452828602,-0.001993064286002784,-0.0015025584903027751,-0.000931198033291003,-0.00021287370251168056,0.0007956098415864802,0.0025109496268760382,0.006969065409447966,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim21_parents_abroad_edge_similarity.csv
1,-0.00044079517290667065,0.003000365208225379,349078840,-0.0037599888864911276,-0.0029071634302586767,-0.0024426284154690737,-0.0020160842559521054,-0.0015577930754931048,-0.0010141079361951754,-0.00031601436996498626,0.0006769610060498122,0.0023602638397745017,0.0065686037949368795,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim21_parents_abroad_edge_similarity.csv
2,-0.0004095740066126609,0.0029889640344858254,485192752,-0.0036940559016520537,-0.002877365427916905,-0.0024206118640834272,-0.0019952337390479603,-0.0015342203272448757,-0.0009845154730711166,-0.0002762296504197122,0.0007300478699248933,0.0024084284102342847,0.006548016067087648,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim21_parents_abroad_edge_similarity.csv
0,-0.000550720744874556,0.0033564534668559156,1991838480,-0.0037636156961155507,-0.003024981183162923,-0.002566623653530361,-0.0021463379806927188,-0.0017091539314706763,-0.0012136812007311577,-0.000602648040905048,0.00024780890374126414,0.0017583736383359175,0.007513651695792263,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim27_parents_abroad_edge_similarity.csv
1,0.00041733749961385603,0.0034997492232024595,349078840,-0.003426818824121282,-0.0025552612006092858,-0.0019833386461215264,-0.0014350217348156,-0.000848039403208369,-0.00017236834270033038,0.0006640633159596486,0.0018027397696996155,0.003627666435251801,0.008499753626797675,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim27_parents_abroad_edge_similarity.csv
2,0.001179470721503157,0.0034275254713814853,485192752,-0.003053354772276626,-0.0020278223449662807,-0.0013145135481838354,-0.000630186411666204,0.00008260481986487813,0.000867201645877987,0.0017802431773086607,0.002923201782824617,0.004565811092007033,0.008601521799152403,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim27_parents_abroad_edge_similarity.csv
0,-0.00028209114144360715,0.003470079555906788,1991838480,-0.003660104169932593,-0.002882844851404501,-0.0024148411136220684,-0.0019855831305182147,-0.0015414222756780006,-0.0010374039153887103,-0.0004049003213491329,0.0005136301278720678,0.0022578842571326454,0.00833467397845171,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim3_parents_abroad_edge_similarity.csv
1,-0.00027732218677168664,0.003430033664554729,349078840,-0.003634754708266258,-0.00286146520667489,-0.00239005576124824,-0.001956928862780224,-0.0015090049637072498,-0.0010014964550689655,-0.0003660499850677387,0.0005479492397857843,0.002223144783069095,0.008175440052242132,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim3_parents_abroad_edge_similarity.csv
2,-0.0002973687681648599,0.0032478315435221067,485192752,-0.003589715239991056,-0.0028035285766210716,-0.0023259492624711706,-0.001884382015415179,-0.0014288089738253443,-0.0009160095868368704,-0.00028201456847309154,0.0006076258803074682,0.0021405873823429843,0.0075085073117270255,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim3_parents_abroad_edge_similarity.csv
0,-0.00008455629331316044,0.004600058581972499,2004873748,-0.00523203881900304,-0.004264430441694751,-0.0035497705311124273,-0.002821067015608295,-0.0019962813040639146,-0.0009804182950371814,0.0003812999478285628,0.0023527831746962325,0.00525171983807866,0.010012640537475144,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_parents_abroad_edge_similarity.csv
1,0.0009451862585900817,0.004952579262535277,357432342,-0.005079262978223869,-0.003920199061610987,-0.003026485075901964,-0.0020935625904446066,-0.0010185258207447837,0.0003107977005648909,0.0020358567417380216,0.004253533318591432,0.006965369296277624,0.011024341110148259,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_parents_abroad_edge_similarity.csv
2,0.0013417198256790853,0.004956637175793362,503733726,-0.004889180527282519,-0.003640821335216592,-0.0026702962927527066,-0.0016665396766461333,-0.0005264857834178982,0.0008545103396243521,0.002596346212944803,0.004761383204032596,0.0073614155130993925,0.011236866640345832,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_parents_abroad_edge_similarity.csv
