municipality,id,n,mean_age,mean_gross_income_percentile,prop_female,prop_both_parents_abroad,prop_one_parent_abroad,prop_vocational_edu,prop_higher_vocational_edu,prop_bachelor_edu,prop_master_doctorate_edu,n_female,n_both_parents_abroad,n_one_parent_abroad,n_vocational_edu,n_higher_vocational_edu,n_bachelor_edu,n_master_doctorate_edu
's-Gravenhage,25,551146,42.14434858340364,49.94723045657898,0.5025818930011285,0.4757650422936935,0.09339449075199675,0.12599202389203587,0.275279145634732,0.1482238826009805,0.13164751263730481,276996,262216,51474,69440,151719,81693,72557
's-Hertogenbosch,52,156280,44.58096365497824,52.87132899992169,0.504920655234195,0.14880342974148963,0.067699001791656,0.1255310980291784,0.28407985666751984,0.1998720245712823,0.1337343230099821,78909,23255,10580,19618,44396,31236,20900
Aa en Hunze,66,25535,49.91149402780497,50.08677959685814,0.5005678480516937,0.0332093205404347,0.034736635989817896,0.12054043469747405,0.3562169571176816,0.19573134912864695,0.09222635598198552,12782,848,887,3078,9096,4998,2355
Aalsmeer,123,32411,44.79577921076178,52.88847141816509,0.5036561661164419,0.16506741538366604,0.06593440498596155,0.13911943475980376,0.3190891981117522,0.1687081546388572,0.08457005337693993,16324,5350,2137,4509,10342,5468,2741
Aalten,94,27067,47.26571101341116,47.461878552738426,0.4969889533380131,0.05534414600805409,0.0587800642849226,0.14955480843831973,0.3810544205120627,0.14951786308050394,0.04788118372926442,13452,1498,1591,4048,10314,4047,1296
Achtkarspelen,106,27917,44.98323602106243,45.57017583510374,0.4897732564387291,0.025145968406347387,0.02145646022137049,0.1600816706666189,0.3932012752086542,0.11885231221119748,0.03227424150159401,13673,702,599,4469,10977,3318,901
Alblasserdam,83,20070,43.91121076233184,49.55840854201093,0.5079222720478326,0.10672645739910314,0.05052316890881913,0.13941205779770802,0.35610363726955657,0.13926258096661684,0.04504235176880917,10194,2142,1014,2798,7147,2795,904
Albrandswaard,341,25896,44.536994130367624,56.552577628881444,0.5030120481927711,0.15195396972505407,0.07947173308619092,0.12793481618782823,0.3112449799196787,0.18242199567500772,0.08526413345690455,13026,3935,2058,3313,8060,4724,2208
Alkmaar,105,110617,45.411735989947296,51.43167104885216,0.5049675908766283,0.1567118978095591,0.07707676035329108,0.12684307113734777,0.3366571141867887,0.19212236817125758,0.08441740419646167,55858,17335,8526,14031,37240,21252,9338
Almelo,300,73038,45.22308935074893,46.172014925373134,0.4990689777923821,0.1998274870615296,0.07152441194994387,0.15370081327528137,0.3624962348366604,0.1392699690572031,0.04904296393658096,36451,14595,5224,11226,26476,10172,3582
Almere,304,217342,41.06163557894931,52.63583424261113,0.5039891047289525,0.3512114547579391,0.10546511948910013,0.13648075383496977,0.3410155423249993,0.15879581489081723,0.06938373623137728,109538,76333,22922,29663,74117,34513,15080
Alphen aan den Rijn,214,112779,44.86871669371071,52.75076906174467,0.5014940724780322,0.14912350703588434,0.0669628210925793,0.13080449374440278,0.33761604554039315,0.17227498027114976,0.0821872866402433,56558,16818,7552,14752,38076,19429,9269
