education,utility_mean,utility_sd,edge_count,decile_0,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,filename
3,0.00015838580440289543,0.004492878753534285,95844504,-0.0052631683820163755,-0.004167152090778638,-0.003334164167576841,-0.0024793175902613402,-0.0015263924863240762,-0.00040568596858173194,0.000977428932912921,0.002782164924480425,0.00530164357581791,0.00969850121445649,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_education_edge_similarity.csv
4,-0.00032850053436296107,0.004262986538243244,39234288,-0.005418546088255279,-0.004367559178893941,-0.0035787931275802704,-0.0027798679651122584,-0.001902515823986442,-0.0008849863281246532,0.00036270618545000894,0.002001658085633625,0.004381478758819838,0.008901421193588522,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_education_edge_similarity.csv
0,-0.00035055052155088796,0.004046954553330827,733988664,-0.005398518979333399,-0.004277965826932026,-0.0034755579450749994,-0.002662740207280311,-0.0017725511032584196,-0.0007490848950757529,0.0004768341844581467,0.0020197928417040175,0.004141002050925964,0.00819328465383845,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim20_education_edge_similarity.csv
1,-0.00017359702053514484,0.004041394040953418,589855544,-0.005312850250552347,-0.004141679417381233,-0.0033195420575011163,-0.002483547336654748,-0.0015651363198619104,-0.0005130124971147801,0.0007341934048409234,0.002276838417017256,0.004350758994447719,0.00823800684224105,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim20_education_edge_similarity.csv
2,-0.00039914574878007695,0.0038906707442056578,314502056,-0.0053148907246850135,-0.004189830526691117,-0.0034097288859943355,-0.0026195518649381653,-0.0017515807654441703,-0.0007532763789242883,0.0004383348300769395,0.001925124922769274,0.003939312541072934,0.007744629423623424,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim20_education_edge_similarity.csv
3,0.00025450625098979036,0.003976315395178008,95844504,-0.00493482776758924,-0.003735717412803448,-0.0028585140265041473,-0.0019852437560278534,-0.0010481130683261347,4.433293519358501e-6,0.0012335156129423192,0.0027357112710565804,0.004731580194057124,0.008402238061017763,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim20_education_edge_similarity.csv
4,0.0018013978834717993,0.004471383371149889,39234288,-0.004492428849153127,-0.0029623904805135396,-0.0017958169294826013,-0.0006490510363510226,0.0005452559578363863,0.0018357460295042875,0.0032670236912402447,0.004916045641429089,0.006963256692070244,0.010386338702095222,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim20_education_edge_similarity.csv
0,0.0002277694873355356,0.004996858830564424,733988664,-0.005594998571058724,-0.004543739156053046,-0.0037402608659833653,-0.0028952436960120926,-0.0018951699693496638,-0.0006036370739449509,0.001158363244490903,0.0034822699403398573,0.006334105745042535,0.010576005262995599,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim27_education_edge_similarity.csv
1,0.00013165358145102355,0.004907152151230601,589855544,-0.00549262339073156,-0.004481089624770963,-0.003719569612082106,-0.0029236547210606065,-0.0019840748298493235,-0.0007631261176346956,0.0009333410159220312,0.0032318150197416084,0.006097356189399983,0.010418161872005227,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim27_education_edge_similarity.csv
2,0.00013754795893140432,0.004932039823923765,314502056,-0.005502426963913656,-0.00451086197941152,-0.0037567601607372972,-0.0029648595392500906,-0.002021117007301609,-0.0007758779461434593,0.000979477469909129,0.003333586401182744,0.006186705398187052,0.010407613992138246,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim27_education_edge_similarity.csv
3,-0.00007537093859148,0.0047990696964077,95844504,-0.005528207393425187,-0.004575187560808564,-0.0038499822093451984,-0.0030893133702446156,-0.002184998826397098,-0.000992853709847248,0.000697187774191431,0.002996939296720942,0.005806083697953256,0.009966622834972778,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim27_education_edge_similarity.csv
4,-0.0004398336950750207,0.004570512624052013,39234288,-0.005611425825507518,-0.00468726611752776,-0.003990134468042296,-0.0032634234275692874,-0.0024113210146783307,-0.001309592833411009,0.00022281701416154416,0.002334940118980762,0.005040847724069307,0.009276223037062258,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim27_education_edge_similarity.csv
